,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.76413602,0.55257756,0.23517409,-0.12567158,0.28336322,0.02169577,-0.83383155,-0.07805409,0.72812355,0.07980297,0.4874301,-0.22040758,0.11353604,0.29210359,0.45362946,0.39799976,0.00528242,0.00589783,0.07858284
1,0.35733452,0.34313747,0.11060163,0.64808565,0.14766534,-0.38008136,-1.04642141,0.03333001,0.37123838,-0.12036584,-0.04176443,-0.21476145,0.10531356,0.0683926,-0.1585723,-0.18656038,0.00530162,0.135307,0.17539604
2,0.41264689,0.41253915,-0.0995933,0.2455966,-0.09148984,-0.46243405,-1.03800321,-0.15909614,-0.67861509,-0.38656738,-0.08791597,-0.04228203,0.6449756,0.14448419,-0.03373921,0.24530126,0.01576535,0.23247889,0.36684221
3,0.88348901,0.54529673,-0.19246973,0.26735795,0.36217561,0.21119177,-0.78656399,0.19057971,0.16002092,0.34355223,0.32251489,0.25978962,0.63481247,0.46737599,-0.14082268,0.17147914,0.01486632,0.02152675,0.12174746
4,0.26210296,-0.28600186,-0.11509925,0.30768186,0.17709914,-0.08591479,-0.21263078,0.12530714,0.37556961,0.30114397,0.05945024,-0.4743931,-0.08508902,-0.34932092,0.18118723,0.12426854,0.03112165,0.0,0.25272244
5,0.75740308,0.13781826,0.0036681,-0.02216599,0.37273008,-0.09663568,-0.68607962,0.23642163,0.45317087,-0.00409325,0.35716051,-0.58154118,0.13087398,-0.14328039,0.25571609,-0.04096759,0.0,0.10520608,0.14653452
6,0.16140702,0.66988099,0.03577534,-0.37850982,0.36861554,0.18808393,-0.58761042,-0.36191943,-0.26117888,-0.57418752,0.14049329,0.49673238,0.01280747,0.9897117,0.25806633,-0.19282824,0.00529541,0.00353923,0.07609601
7,-0.09438189,0.55955321,-0.10465971,-0.17627226,0.43119702,-0.03807867,-0.48507118,-0.53246444,-0.49592853,-0.15986638,-0.02318118,0.60087931,0.0222401,0.91279894,0.44111741,-0.07571339,0.00530297,0.00578999,0.03693496
8,0.19615985,0.6012376,1.27157426,-0.51363879,-0.09232637,0.10634359,0.19115344,-0.39847508,-0.34125611,-0.62182581,0.06996407,0.49280289,-0.47434995,0.24302471,0.7954514,0.39530814,0.00530426,0.00768558,0.00090826
9,-0.23855452,0.28705692,0.669958,-0.52948821,-0.07881777,-0.27190289,0.26140925,0.12632971,-0.19576155,-0.3114281,-0.44797227,0.48076418,-0.42035154,0.03026877,0.11713234,0.70362049,0.00531263,0.0138796,0.03437425
10,-0.04575898,0.11354021,0.32923287,-0.07213238,-0.08307921,-0.16526468,0.29244283,0.31448242,-0.11193416,-0.42395565,-0.67292905,-0.00214944,-0.12721007,-0.21128507,0.11009813,0.47661966,0.00529729,0.00123189,0.01375374
11,-0.18814966,0.69037318,0.5066281,-0.11876237,-0.11861446,0.005227,0.01517227,0.15699553,-0.07592956,-0.71479988,-0.5327692,0.4976559,-0.23525049,0.29362094,0.25413322,0.48567811,0.0105818,0.0364668,0.03334428
12,0.92150623,0.21496384,0.04821611,-0.26148242,0.29304889,-0.25734016,-0.80379015,0.38481599,0.27636358,0.23156555,0.60595548,-0.05536624,0.40112409,0.06960381,-0.29294416,0.07334081,0.00531038,0.18951803,0.00776296
13,0.48184842,1.11188471,0.10340045,0.01385419,0.14609799,-0.59858215,-1.4074297,-0.15856877,-0.10811524,-0.08153261,0.07383151,0.0894591,0.20586342,0.1961481,-0.43033513,0.02600618,0.0,0.00210833,0.08739226
14,-0.20706664,0.42630282,0.3343294,-0.85386825,-0.0209057,-1.00476122,-0.75305629,0.01018631,-0.29347578,-0.25870943,0.92959052,0.82725495,0.04439202,0.58766097,0.09284055,-0.15361014,0.00531242,0.01549035,0.03788006
15,0.3082822,0.18749924,0.16873172,-0.06314034,0.16732395,-0.47102192,-0.93416804,0.08961041,-0.761338,-0.24909489,0.47897971,0.46145052,0.18039808,0.02642642,-0.04140252,-0.50992203,0.0,0.01733097,0.05737151
16,-7.70310831,1.80734098,7.57430601,0.19931512,9.17770386,2.20622182,-2.34392047,1.81903744,-2.10847068,-0.81723922,3.22637582,-2.21800184,6.41615629,-0.55695945,-1.68393779,2.84663177,0.0,0.00315096,0.04484641
17,0.20643964,0.35847759,0.82362992,-0.29329228,-0.53515089,-0.03137022,-0.49108854,-0.1697973,-0.50934893,-0.13855676,0.64526343,1.10797179,0.6736083,-0.30710748,-0.26976675,-0.38170859,0.00530639,0.00353385,0.07262387
18,-10.64925957,2.26651645,9.80950546,0.47533521,13.39464664,3.66940713,-2.44724417,3.12097073,-2.44149017,-0.53233176,4.11977434,-3.73625398,8.65303802,-0.48484603,-1.87369299,3.73228955,0.01580901,0.28355017,0.36705506
19,0.03964474,0.23126039,0.48574862,0.28919601,-0.44355035,0.21161395,-0.45571753,0.17280588,-0.34028742,0.17917821,0.29564422,0.34120241,0.12217245,0.2229607,-0.30968201,0.15926622,0.00529518,0.25444132,0.21053214
20,0.05601685,0.62234157,0.60957068,-0.35839278,-0.46644038,-0.07477089,-0.81267989,-0.02276184,-0.58081645,-0.19458313,0.214311,0.99183357,0.60455596,0.24689977,-0.23448212,-0.3447921,1.0,0.0132367,0.09618794
21,0.70819318,0.88717854,1.41323638,-0.71393371,-0.83262485,-0.12206002,-1.34949386,0.06380586,-0.42525131,0.08288996,0.83136511,1.78075206,0.93337673,-0.10379835,-0.51012403,0.14273614,0.09429529,0.00046276,0.21558274
22,-4.76781797,1.60933459,5.34195709,0.19406281,5.95027685,1.33287013,-2.17086673,1.62307286,-1.59150815,-0.54056597,2.02013731,-0.91354895,4.85332394,-0.56187284,-1.44700956,2.17473125,0.00523018,0.02719722,0.05558077
23,0.02135944,1.0698607,0.77033025,-0.73790038,-0.68022436,0.627011,-1.32218719,-0.11090527,-0.61287111,-0.039336,0.85849613,0.78682172,0.05679092,0.38747782,-0.36583742,-0.54955214,0.00525688,0.01830802,0.07617458
24,-0.10354157,-0.38577196,-0.04607438,0.08470977,-0.18191516,-0.24454923,0.31199768,-0.02978995,0.50968665,0.80385989,-0.73288864,-0.20880751,-0.50968343,-0.03840549,-0.02786868,-0.29829121,0.0,0.04165524,0.10223336
25,-0.45328453,-0.27805376,0.22665077,0.05200036,0.08909015,-0.16323553,0.26020318,0.04374744,0.47246477,0.94052428,-0.70471424,-0.29395816,-0.36217985,0.1157794,0.01483355,-0.29609704,0.00529922,0.22702718,0.0
26,0.87479484,0.84088385,0.22246204,-0.12758097,0.09606507,-0.41080791,-1.28125882,-0.47917339,-0.95272642,-0.34999096,-0.18098095,-0.01177241,0.59688163,0.27893987,-0.1160871,0.22731499,0.0,0.00789518,0.005726
27,0.32460633,-0.08822934,0.01500401,-0.00428887,0.11726335,-0.37409994,-0.57585603,0.01816401,-0.13259535,0.1458457,-0.75192684,-0.29452166,0.57882041,-0.05488363,-0.02884832,0.11706879,0.0,0.0,0.0
28,0.34477958,-0.44244835,0.27821884,-0.11156998,-0.26127809,-0.10434049,0.26698625,-0.10663972,0.15844704,0.25526366,-0.3964451,0.20988204,0.10979686,-0.92056125,-0.58964247,0.00305925,0.01044168,0.02996729,0.32482931
29,0.53425211,-0.49296549,-0.04087072,-0.26744747,-0.34793293,-0.16121285,0.44320276,-0.13898547,0.20048691,0.41702962,-0.5872674,0.34837112,-0.00815221,-0.95971984,-0.48417735,0.00639323,0.0,0.12519009,0.0
30,0.12172262,0.17192408,0.14312921,-0.44683972,0.28856528,-0.43464297,-0.58091986,-0.39260292,-0.09265061,0.07823455,-0.02845846,0.07337061,0.02969582,0.46852919,0.00687558,-0.0004857,0.00522898,0.01037163,0.00968198
31,0.25766996,0.09155342,0.50839221,-0.37978435,0.03373795,-0.23370364,-0.57174134,-0.36414918,-0.17953515,-0.05122839,-0.43812829,0.20905136,0.30760139,0.59346068,-0.44085813,-0.10494165,0.00525293,0.001357,0.04217957
32,0.0321167,0.38601378,0.36163175,-0.70703834,0.24126697,-0.14917234,0.01707557,0.40180093,-0.92024308,-0.573228,0.03710427,0.61043406,-0.49296257,0.48252413,0.50115335,0.24066478,0.00530591,0.005166,0.01359725
33,0.02314386,0.40520576,0.58644164,-0.85666555,0.18054731,-0.1142472,-0.24976374,0.39862484,-0.84872752,-0.49382406,0.03946213,0.62549233,-0.60989612,0.56586778,0.47040057,0.03039849,0.0,0.0,0.0
34,-0.2950986,0.90112484,0.60169584,-0.74706197,-0.17157942,-0.40456116,-0.46197411,-0.09419795,-0.26491469,-0.83388513,0.22143084,0.78453588,-0.40266788,0.69778454,0.53809816,0.5560295,0.0104704,0.01497972,0.19343506
35,0.05101597,0.15087695,0.4681935,-0.71727645,0.11971657,-0.21987522,-0.08042595,0.47050068,-0.88859022,-0.65716177,-0.01837167,0.63197774,-0.30319685,0.48720917,0.55809915,0.21166593,0.01050721,0.02103677,0.01188155
36,-0.29409885,0.47179025,0.4571664,-0.28424332,-0.09622854,-1.04121554,-0.48941627,0.1721331,-0.84018362,-0.88773388,0.63484275,0.85463578,-0.50549525,1.14509892,0.58274823,0.75011027,0.01058633,0.00225331,0.02610167
37,0.03285451,0.40339333,0.62849951,-0.74674076,0.10927184,-0.29860854,0.0270506,0.50534612,-0.96143049,-0.68530571,-0.04656989,1.19647133,-0.13050006,0.71500456,0.57493818,0.12933917,0.03662793,0.01053377,0.07903957
38,-0.24447964,0.06571236,0.1933907,-0.41720137,0.06832393,0.25004131,-0.44513652,0.32743675,-0.31600815,-0.75585341,-0.03890482,0.20908657,-0.86286783,0.49833167,-0.03074599,0.46224421,0.02636576,0.00544086,0.01418816
39,-0.08429372,0.56588531,0.38314998,-0.51318264,0.10195024,0.13447051,-0.27714559,0.35142809,-0.61958808,-1.09256423,-0.04062139,0.51653928,-0.86825013,0.69584745,0.01540847,0.59447122,0.01577215,0.00961163,0.0037716
